STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
496,MALA,41.155,0.007,0.20,0.43,2020.0000,NGL14,2000-03-29,2023-03-23,2459
498,CEU1,35.785,0.005,-1.15,0.62,2020.0000,NGL14,2007-08-25,2023-03-23,857
498,CEU1,35.854,0.004,1.80,0.30,2020.0000,GT3,2007-08-25,2023-03-23,857
498,CEUT,35.151,0.036,-5.78,2.28,2020.0000,NGL14,2001-11-15,2006-12-07,578
498,CEUT,35.192,0.007,-1.21,2.10,2020.0000,JPL14,2001-11-15,2006-12-07,578
498,CEU1,35.804,0.007,-0.67,0.24,2020.0000,ULR7a,2007-08-25,2023-03-23,857
518,P203,21.780,0.005,3.31,0.30,2020.0000,GT3,2003-04-14,2023-03-23,32
518,P203,22.265,0.004,3.79,0.79,2020.0000,NGL14,2003-04-14,2023-03-23,32
561,PASA,41.327,0.004,-0.22,0.54,2020.0000,NGL14,2007-02-12,2023-03-23,951
565,PLUZ,35.977,0.006,,,2020.0000,JPL14,2004-04-06,2018-10-01,0
565,PLUZ,32.459,0.001,,,2013.6263,NGL14,2004-04-06,2018-10-01,0
565,PLUZ,36.003,0.001,,,2013.6260,GT3,2004-04-06,2018-10-01,0
573,BORK,35.287,0.004,-0.99,0.49,2020.0000,NGL14,2000-11-01,2007-06-04,5614
573,BORK,35.109,0.006,-0.47,0.30,2020.0000,GT3,2000-11-01,2007-06-04,5614
590,PLUZ,35.977,0.006,,,2020.0000,JPL14,2004-04-06,2018-10-01,2116
590,PLUZ,32.459,0.001,,,2013.6263,NGL14,2004-04-06,2018-10-01,2116
590,PLUZ,36.003,0.001,,,2013.6260,GT3,2004-04-06,2018-10-01,2116
671,P204,27.586,0.005,9.44,0.30,2020.0000,GT3,2003-04-14,2023-03-23,1810
671,P204,27.511,0.004,5.85,1.11,2020.0000,NGL14,2003-04-14,2023-03-23,1810
683,BUR2,-8.587,0.004,-0.22,0.30,2020.0000,GT3,2008-07-24,2023-03-23,13
683,BUR2,-8.596,0.004,-1.52,0.45,2020.0000,NGL14,2008-07-24,2023-03-23,13
683,BUR2,-8.591,0.006,-0.98,0.18,2020.0000,ULR7a,2008-07-24,2023-03-23,13
685,SPLT,35.432,0.008,0.45,0.68,2020.0000,NGL14,2004-05-05,2012-04-02,3778
701,P117,31.290,0.004,4.29,0.63,2020.0000,NGL14,2003-06-13,2023-03-23,57
701,P117,31.367,0.005,3.55,0.30,2020.0000,GT3,2003-06-13,2023-03-23,57
721,P103,30.288,0.005,8.85,0.30,2020.0000,GT3,2003-04-01,2023-03-23,15
721,P103,30.235,0.004,5.68,1.40,2020.0000,NGL14,2003-04-01,2023-03-23,15
752,P105,32.596,0.005,2.63,0.30,2020.0000,GT3,2003-04-01,2023-03-23,15
752,P105,32.512,0.004,-2.37,1.02,2020.0000,NGL14,2003-04-01,2023-03-23,15
753,P110,32.173,0.004,4.72,1.07,2020.0000,NGL14,2003-06-25,2023-03-23,62
753,P110,32.279,0.005,7.97,0.30,2020.0000,GT3,2003-06-25,2023-03-23,62
763,ACOR,47.498,0.006,-1.56,0.30,2020.0000,GT3,1998-12-11,2023-03-22,6
763,ACOR,47.499,0.004,-2.15,0.19,2020.0000,JPL14,1998-12-11,2023-03-22,6
763,ACOR,47.501,0.007,-2.05,0.22,2020.0000,ULR7a,1998-12-11,2023-03-22,6
763,ACOR,47.496,0.005,-2.48,0.37,2020.0000,NGL14,1998-12-11,2023-03-22,6
789,HOL2,27.566,0.004,0.29,0.57,2020.0000,NGL14,2005-10-10,2023-03-22,78
789,HOL2,27.585,0.008,0.68,0.19,2020.0000,ULR7a,2005-10-10,2023-03-22,78
813,P204,27.586,0.005,9.44,0.30,2020.0000,GT3,2003-04-14,2023-03-23,24
813,P204,27.511,0.004,5.85,1.11,2020.0000,NGL14,2003-04-14,2023-03-23,24
814,P211,21.363,0.005,-1.60,0.30,2020.0000,GT3,2003-05-28,2023-03-23,14
814,P211,21.366,0.005,0.26,1.08,2020.0000,NGL14,2003-05-28,2023-03-23,14
816,P117,31.367,0.005,3.55,0.30,2020.0000,GT3,2003-06-13,2023-03-23,9628
816,P117,31.290,0.004,4.29,0.63,2020.0000,NGL14,2003-06-13,2023-03-23,9628
826,SIMO,35.659,0.002,,,2022.0753,NGL14,2001-01-01,2023-03-22,68
826,SIMO,35.668,0.002,,,2020.9987,GT3,2001-01-01,2023-03-22,68
826,SIMO,35.689,0.004,,,2020.0000,JPL14,2001-01-01,2023-03-22,68
828,N301,-35.210,0.005,-3.93,1.83,2020.0000,NGL14,2019-07-01,2023-03-22,2797
830,LWTG,42.354,0.007,0.71,0.63,2020.0000,NGL14,2005-08-19,2015-02-16,5
830,LWTG,42.351,0.007,0.59,0.28,2020.0000,ULR7a,2005-08-19,2015-02-16,5
852,NBTG,53.697,0.007,-0.75,0.37,2020.0000,ULR7a,2015-04-27,2023-03-23,6690
852,NBTG,53.700,0.005,-1.67,1.13,2020.0000,NGL14,2015-04-27,2023-03-23,6690
876,P113,33.548,0.005,5.76,0.30,2020.0000,GT3,2003-06-10,2023-03-23,8054
876,P113,33.476,0.034,4.15,3.20,2020.0000,NGL14,2003-06-10,2023-03-23,8054
935,LKYA,0.532,0.010,-0.24,0.45,2020.0000,ULR7a,2011-08-11,2023-03-23,2925
935,LKYA,0.540,0.005,0.14,0.77,2020.0000,NGL14,2011-08-11,2023-03-23,2925
960,ALAC,42.857,0.011,-0.80,0.32,2020.0000,JPL14,1998-03-06,2023-03-23,0
960,ALAC,42.854,0.012,-0.31,0.39,2020.0000,NGL14,1998-03-06,2023-03-23,0
960,ALAC,42.885,0.013,-0.14,0.30,2020.0000,GT3,1998-03-06,2023-03-23,0
1000,TUKT,-14.341,0.011,-1.33,0.33,2020.0000,JPL14,2003-08-22,2023-03-23,2632
1000,TUKT,-14.344,0.011,-2.78,0.30,2020.0000,GT3,2003-08-22,2023-03-23,2632
1000,TUKT,-14.342,0.012,-1.47,0.49,2020.0000,NGL14,2003-08-22,2023-03-23,2632
1009,KOPE,37.565,0.004,-0.60,0.51,2020.0000,NGL14,2006-01-01,2022-12-31,0
1026,P116,31.277,0.005,4.70,0.30,2020.0000,GT3,2003-06-12,2023-03-23,38
1026,P116,31.135,0.011,5.66,1.12,2020.0000,NGL14,2003-06-12,2023-03-23,38
1027,P101,25.725,0.005,3.30,0.30,2020.0000,GT3,2003-06-04,2023-03-23,8
1027,P101,25.728,0.020,0.82,1.82,2020.0000,NGL14,2003-06-04,2023-03-23,8
1029,NAIN,-16.935,0.011,4.62,0.30,2020.0000,GT3,2002-12-18,2020-03-19,1101
1029,NAIN,-17.005,0.011,4.55,0.13,2020.0000,ULR7a,2002-12-18,2020-03-19,1101
1029,NAIN,-17.011,0.010,4.19,0.15,2020.0000,JPL14,2002-12-18,2020-03-19,1101
1029,NAIN,-17.009,0.011,4.06,0.39,2020.0000,NGL14,2002-12-18,2020-03-19,1101
1033,STNY,-3.476,0.003,-0.26,0.30,2020.0000,GT3,2011-05-31,2021-12-06,989
1033,STNY,-3.488,0.004,-0.90,0.66,2020.0000,NGL14,2011-05-31,2021-12-06,989
1033,STNY,-3.483,0.006,-0.28,0.22,2020.0000,ULR7a,2011-05-31,2021-12-06,989
1037,BORK,35.109,0.006,-0.47,0.30,2020.0000,GT3,2000-11-01,2007-06-04,683
1037,BORK,35.287,0.004,-0.99,0.49,2020.0000,NGL14,2000-11-01,2007-06-04,683
1051,CANT,43.058,0.004,-0.68,0.45,2020.0000,NGL14,2000-03-11,2023-03-23,2702
1051,CANT,43.055,0.003,-0.74,0.57,2020.0000,JPL14,2000-03-11,2023-03-23,2702
1051,CANT,43.082,0.006,-0.23,0.30,2020.0000,GT3,2000-03-11,2023-03-23,2702
1051,CANT,43.080,0.009,-0.40,0.25,2020.0000,ULR7a,2000-03-11,2023-03-23,2702
1087,MALL,41.956,0.004,-0.34,0.42,2020.0000,NGL14,2000-05-12,2023-03-23,488
1087,MAL1,42.058,0.007,0.58,1.16,2020.0000,NGL14,2015-10-29,2023-03-23,1877
1087,MALL,41.974,0.007,-0.02,0.15,2020.0000,ULR7a,2000-05-12,2023-03-23,488
1087,MAL1,42.073,0.000,,,2020.9987,GT3,2015-10-29,2023-03-23,1877
1087,MAL1,42.056,0.000,1.68,0.83,2020.9958,ULR7a,2015-10-29,2023-03-23,1877
1087,MALL,41.960,0.004,-0.67,0.24,2020.0000,JPL14,2000-05-12,2023-03-23,488
1100,P210,25.589,0.004,-2.84,0.84,2020.0000,NGL14,2003-04-01,2022-08-17,15
1100,P210,25.611,0.005,-0.72,0.30,2020.0000,GT3,2003-04-01,2022-08-17,15
1103,P201,20.035,0.005,2.13,0.30,2020.0000,GT3,2003-04-01,2023-03-23,22
1103,P201,20.011,0.004,1.23,0.57,2020.0000,NGL14,2003-04-01,2023-03-23,22
1104,P202,23.290,0.004,4.63,0.71,2020.0000,NGL14,2003-06-05,2023-03-23,5
1104,P202,23.299,0.005,4.44,0.30,2020.0000,GT3,2003-06-05,2023-03-23,5
1110,ALRT,11.565,0.015,5.97,0.50,2020.0000,NGL14,2002-07-16,2019-06-17,564
1110,ALRT,11.570,0.011,5.28,0.64,2020.0000,JPL14,2002-07-16,2019-06-17,564
1110,ALRT,11.760,0.012,8.09,0.30,2020.0000,GT3,2002-07-16,2019-06-17,564
1140,P205,32.957,0.004,43.28,1.94,2020.0000,NGL14,2003-06-11,2023-03-23,6085
1140,P205,33.192,0.005,-5.48,0.30,2020.0000,GT3,2003-06-11,2023-03-23,6085
1148,P118,28.843,0.004,-2.46,0.60,2020.0000,NGL14,2003-06-16,2023-03-23,18
1151,P212,24.532,0.004,0.60,0.74,2020.0000,NGL14,2003-06-13,2023-03-23,28
1151,P212,24.581,0.005,1.36,0.30,2020.0000,GT3,2003-06-13,2023-03-23,28
1151,P212,24.537,0.009,0.12,0.26,2020.0000,ULR7a,2003-06-13,2023-03-23,28
1158,TSKT,-29.990,0.007,0.09,0.49,2020.0000,ULR7a,2013-08-19,2023-03-23,14250
1158,TSKT,-29.995,0.004,,,2020.0000,NGL14,2013-08-19,2023-03-23,14250
1190,P112,29.272,0.005,-1.73,0.30,2020.0000,GT3,2003-06-02,2023-03-23,17
1190,P112,29.922,0.004,-2.60,0.73,2020.0000,NGL14,2003-06-02,2023-03-23,17
1191,P107,26.377,0.004,5.44,1.29,2020.0000,NGL14,2003-06-18,2023-03-23,41
1191,P107,26.473,0.005,7.22,0.30,2020.0000,GT3,2003-06-18,2023-03-23,41
1216,SPBY,-10.665,0.004,-0.64,0.30,2020.0000,GT3,2008-09-25,2023-03-23,167
1216,SPBY,-10.661,0.004,-1.74,0.52,2020.0000,NGL14,2008-09-25,2023-03-23,167
1217,MAJU,22.609,0.007,-0.38,0.73,2020.0000,NGL14,2007-05-22,2022-03-27,2143
1217,MAJU,22.619,0.011,-0.61,0.43,2020.0000,ULR7a,2007-05-22,2022-03-27,2143
1253,RKTG,-8.051,0.005,,,2020.0000,NGL14,2012-05-14,2023-01-25,548
1253,GAMB,-14.494,0.010,-1.26,0.35,2020.9795,ULR7a,2000-04-08,2022-03-24,921
1253,GAMB,-14.515,0.011,,,2020.0000,NGL14,2000-04-08,2022-03-24,921
1264,P104,30.691,0.004,2.33,0.77,2020.0000,NGL14,2003-06-02,2023-03-23,242
1264,P104,30.699,0.005,2.35,0.30,2020.0000,GT3,2003-06-02,2023-03-23,242
1265,P123,25.608,0.025,2.12,2.29,2020.0000,NGL14,2003-06-12,2023-03-23,24
